 "command";"executable";"simtype";"ncores";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (50.90%))";"branches";"branches (M/sec                    (51.33%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (49.99%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.19%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.41%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;42252383.0;0.0218;1941681816.0;1210.009;422.0;0.263;4.0;0.002;5706417631.0;3.556;8631126911.0;1.51;1554.0;0.968;1105054871.0;0.1937;500472510.0;0.0877;1604.683242;2.296;0.699005973
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;43462061.0;0.0235;1851325817.0;1145.451;423.0;0.262;3.0;0.002;5701713143.0;3.528;8361578963.0;1.47;1556.0;0.963;1153250176.0;0.2023;641521212.0;0.1125;1616.242258;2.3;0.702736125
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;42832216.0;0.0236;1814761292.0;1141.625;426.0;0.268;5.0;0.003;5622385664.0;3.537;8214896444.0;1.46;1546.0;0.973;1081255854.0;0.1923;702059801.0;0.1249;1589.630445;2.291;0.693943444
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;42161784.0;0.022400000000000003;1878435147.0;1168.88;407.0;0.253;5.0;0.003;5717922709.0;3.558;8431738870.0;1.47;1503.0;0.935;1124025456.0;0.1966;648834591.0;0.11349999999999999;1607.03828;2.311;0.695318622
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;42722334.0;0.023;1857742044.0;1152.436;444.0;0.275;3.0;0.002;5703132798.0;3.538;8366838008.0;1.47;1546.0;0.959;1120399241.0;0.19649999999999998;613789894.0;0.1076;1612.013673;2.289;0.704149565
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;43519865.0;0.022799999999999997;1909839825.0;1193.267;431.0;0.269;3.0;0.002;5671506426.0;3.544;8532894982.0;1.5;1539.0;0.962;1039895600.0;0.1834;599307298.0;0.1057;1600.513334;2.303;0.694931771
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;42796060.0;0.024;1784726180.0;1129.055;435.0;0.275;4.0;0.003;5576217198.0;3.528;8075349316.0;1.45;1477.0;0.934;1057828903.0;0.18969999999999998;697164787.0;0.125;1580.72577;2.285;0.691687098
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;42343973.0;0.0219;1932691629.0;1206.199;429.0;0.268;3.0;0.002;5670599140.0;3.539;8630247355.0;1.52;1554.0;0.97;1105201916.0;0.1949;519760254.0;0.0917;1602.299094;2.292;0.699043748
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;43330186.0;0.0231;1877880490.0;1166.937;425.0;0.264;3.0;0.002;5669394201.0;3.523;8451060294.0;1.49;1575.0;0.979;1105484414.0;0.195;610861731.0;0.10769999999999999;1609.238654;2.286;0.704100288
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;42795581.0;0.0236;1813568001.0;1132.844;409.0;0.255;3.0;0.002;5646822196.0;3.527;8191218552.0;1.45;1546.0;0.966;1070693042.0;0.18960000000000002;720223119.0;0.1275;1600.898433;2.29;0.699103438
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;42448211.0;0.0217;1954874193.0;1214.364;417.0;0.259;3.0;0.002;5693692003.0;3.537;8726129257.0;1.53;1548.0;0.962;1137927439.0;0.1999;479403189.0;0.0842;1609.792821;2.293;0.702117376
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;43056107.0;0.022400000000000003;1925661712.0;1193.647;439.0;0.272;3.0;0.002;5703284692.0;3.535;8613646944.0;1.51;1552.0;0.962;1111839688.0;0.1949;516041568.0;0.09050000000000001;1613.258711;2.296;0.702592159
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;43072112.0;0.022799999999999997;1892554464.0;1191.62;391.0;0.246;3.0;0.002;5601173635.0;3.527;8483534109.0;1.51;1541.0;0.97;1061314529.0;0.1895;549827621.0;0.09820000000000001;1588.219346;2.281;0.696233217
"./build/Benchmark/adevs_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"adevs_devstone";"cpdevs";4;20;20;500000;42624583.0;0.0222;1917357292.0;1204.501;451.0;0.283;3.0;0.002;5639482829.0;3.543;8563160314.0;1.52;1545.0;0.971;1075386347.0;0.1907;519037184.0;0.092;1591.827585;2.287;0.696157083
