 "command";"executable";"simtype";"ncores";"nodes";"atomics/node";"iterations";"% remotes";"% priority";"end time" ;"branch-misses";"branch-misses (of all branches          (50.07%))";"branches";"branches (M/sec                    (50.17%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (50.01%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (50.01%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (50.00%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 20 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;20;0.0;1000000;2046836.0;0.0316;64751518.0;126.561;52.0;0.102;0.0;0.0;1821615446.0;3.56;2450452245.0;1.35;518.0;0.001;856073871.0;0.47;20991152.0;0.0115;511.621699;1.0;0.511838793
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2108124.0;0.0316;66630974.0;125.882;52.0;0.098;0.0;0.0;1883203804.0;3.558;2516095812.0;1.34;519.0;0.981;885461644.0;0.4702;21815764.0;0.0116;529.313749;1.0;0.529566136
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2139758.0;0.0317;67461901.0;129.039;55.0;0.105;0.0;0.0;1881272429.0;3.598;2528233635.0;1.34;516.0;0.987;886588818.0;0.47130000000000005;20819467.0;0.0111;522.802217;1.0;0.522973203
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2140619.0;0.0318;67316613.0;128.062;53.0;0.101;0.0;0.0;1870725296.0;3.559;2528761235.0;1.35;514.0;0.978;883579385.0;0.47229999999999994;21450869.0;0.0115;525.658272;1.0;0.525830407
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2119766.0;0.0315;67384474.0;127.744;53.0;0.1;0.0;0.0;1877510799.0;3.559;2530323150.0;1.35;515.0;0.976;880602420.0;0.469;21166082.0;0.0113;527.496905;1.0;0.527698975
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;1987460.0;0.0298;66771105.0;126.849;52.0;0.099;0.0;0.0;1863350324.0;3.54;2536643710.0;1.36;518.0;0.984;884305907.0;0.4746;20963643.0;0.0113;526.381021;0.999;0.52665625
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2158620.0;0.032;67518711.0;128.314;55.0;0.105;0.0;0.0;1875055117.0;3.563;2530740885.0;1.35;517.0;0.983;886376722.0;0.4727;21238837.0;0.0113;526.197628;0.999;0.526466602
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2126306.0;0.0316;67330203.0;127.603;53.0;0.1;0.0;0.0;1877999412.0;3.559;2529456488.0;1.35;515.0;0.976;880116996.0;0.4686;21427756.0;0.011399999999999999;527.652296;1.0;0.527851724
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2115248.0;0.0318;66597394.0;127.636;52.0;0.1;0.0;0.0;1878048996.0;3.599;2522787209.0;1.34;521.0;0.999;882262530.0;0.4698;21907650.0;0.011699999999999999;521.775362;1.0;0.521599687
"./build/Benchmark/dxexmachina_phold classic -n 6 -s 4 -i 0 -r 30 -p 0.0 -t 1000000";"dxexmachina_phold";"classic";1;6;4;0;30;0.0;1000000;2134106.0;0.0316;67449309.0;127.939;53.0;0.101;0.0;0.0;1878234010.0;3.563;2529427732.0;1.35;519.0;0.984;880824987.0;0.469;21331241.0;0.011399999999999999;527.196979;1.0;0.527454949
