 "command";"executable";"simtype";"ncores";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (50.08%))";"branches";"branches (M/sec                    (50.85%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (48.89%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (51.52%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (51.94%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;1539999.0;0.0111;138772198.0;436.123;230.0;0.723;4.0;0.013;1036581199.0;3.258;839631265.0;0.81;849.0;0.003;670884028.0;0.6472;24809521.0;0.0239;318.195203;3.344;0.095163049
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;1523795.0;0.0124;122552413.0;441.221;79.0;0.284;4.0;0.014;930374090.0;3.35;766236599.0;0.82;833.0;0.003;582422482.0;0.626;21527225.0;0.0231;277.75714;3.703;0.075011342
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;1954623.0;0.0176;111148499.0;469.097;123.0;0.519;4.0;0.017;764776140.0;3.228;675544189.0;0.88;836.0;0.004;459585638.0;0.6009;22559262.0;0.029500000000000002;236.941449;3.481;0.06807
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 15 -d 15 -t 500000";"dxexmachina_devstone";"cpdevs";4;15;15;500000;1407077.0;0.0108;129776394.0;449.873;121.0;0.419;4.0;0.014;907431559.0;3.146;800045893.0;0.88;843.0;0.003;587666685.0;0.6476000000000001;20555245.0;0.0227;288.473694;3.431;0.084089712
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;5440574.0;0.024700000000000003;220194733.0;512.889;88.0;0.205;5.0;0.012;1468376677.0;3.42;1337114545.0;0.91;1021.0;0.002;839315046.0;0.5716;50115105.0;0.0341;429.322017;3.741;0.11475181
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;2504493.0;0.0115;217829287.0;496.145;89.0;0.203;5.0;0.011;1496688200.0;3.409;1340415861.0;0.9;1020.0;0.002;913856009.0;0.6106;29743188.0;0.0199;439.043282;3.694;0.118849
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;2569401.0;0.0116;220998491.0;453.482;85.0;0.174;4.0;0.008;1671223153.0;3.429;1341788057.0;0.8;1028.0;0.002;1046799483.0;0.6264;33839697.0;0.0202;487.33638;3.837;0.126994204
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;5241117.0;0.0269;194865155.0;387.258;87.0;0.173;4.0;0.008;1691181613.0;3.361;1223332584.0;0.72;1053.0;0.002;1127656785.0;0.6668000000000001;52392283.0;0.031;503.191573;3.394;0.148255494
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;5503938.0;0.0286;192216104.0;400.896;184.0;0.384;4.0;0.008;1621820091.0;3.383;1205314799.0;0.74;1038.0;0.002;1033996014.0;0.6376;54657053.0;0.0337;479.466584;3.415;0.140406861
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;2201001.0;0.0104;211481552.0;511.056;121.0;0.292;5.0;0.012;1410758555.0;3.409;1301807863.0;0.92;1030.0;0.002;873964934.0;0.6195;27125402.0;0.0192;413.812778;3.676;0.112583349
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;2185770.0;0.010700000000000001;204299160.0;426.89;290.0;0.606;4.0;0.008;1599969264.0;3.343;1260151163.0;0.79;1036.0;0.002;1059769388.0;0.6624;32187266.0;0.020099999999999996;478.575133;3.431;0.13947167
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;2149950.0;0.01;215754158.0;496.792;91.0;0.21;6.0;0.014;1446244750.0;3.33;1328156453.0;0.92;1019.0;0.002;887394163.0;0.6136;26503804.0;0.0183;434.294883;3.681;0.117994024
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;1946632.0;0.0103;189168902.0;487.089;77.0;0.198;4.0;0.01;1303290768.0;3.356;1187522584.0;0.91;1023.0;0.003;783943294.0;0.6015;23466218.0;0.018000000000000002;388.366231;3.6;0.107875023
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;5353666.0;0.0262;204559205.0;411.756;323.0;0.65;4.0;0.008;1656505000.0;3.334;1271862358.0;0.77;1037.0;0.002;1067505379.0;0.6444;53461299.0;0.0323;496.797405;3.409;0.1457239
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;2953565.0;0.0147;200621633.0;441.153;260.0;0.572;4.0;0.009;1507398634.0;3.315;1256379212.0;0.83;1051.0;0.002;964040256.0;0.6395000000000001;35869922.0;0.023799999999999998;454.766185;3.25;0.139948748
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;2294857.0;0.0103;223012300.0;509.93;82.0;0.187;4.0;0.009;1464359196.0;3.348;1321924025.0;0.9;1026.0;0.002;847928913.0;0.579;28572312.0;0.0195;437.339465;3.592;0.121757942
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;2868394.0;0.0143;200366798.0;322.558;94.0;0.151;4.0;0.006;2107446536.0;3.393;1240020193.0;0.59;1030.0;0.002;1564425966.0;0.7423000000000001;36668078.0;0.0174;621.180994;3.612;0.171975741
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;5381810.0;0.027200000000000002;198160129.0;416.4;163.0;0.343;4.0;0.008;1583533270.0;3.328;1235527715.0;0.78;1031.0;0.002;1016237819.0;0.6418;52874804.0;0.0334;475.889113;3.448;0.138027602
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 20 -d 20 -t 500000";"dxexmachina_devstone";"cpdevs";4;20;20;500000;5641190.0;0.0281;201080284.0;408.49;271.0;0.551;4.0;0.008;1671941697.0;3.397;1248582942.0;0.75;1036.0;0.002;1040624527.0;0.6224000000000001;57516546.0;0.0344;492.253138;3.512;0.140152878
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;3797710.0;0.0109;348388640.0;454.656;104.0;0.136;4.0;0.005;2655369136.0;3.465;2126428822.0;0.8;1303.0;0.002;1718359884.0;0.6470999999999999;48715823.0;0.0183;766.269044;3.732;0.205332629
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;7217985.0;0.0241;299136107.0;385.264;107.0;0.138;4.0;0.005;2684233109.0;3.457;1860898016.0;0.69;1416.0;0.002;1801884494.0;0.6713;71623194.0;0.026699999999999998;776.444337;3.431;0.226332162
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;2975219.0;0.009399999999999999;317801485.0;493.595;109.0;0.169;5.0;0.008;2218749574.0;3.446;1983200819.0;0.89;1295.0;0.002;1387147756.0;0.6252;36595182.0;0.0165;643.850096;3.645;0.17663521
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;7306294.0;0.024;304377604.0;412.674;163.0;0.221;4.0;0.005;2540753911.0;3.445;1876369250.0;0.74;1306.0;0.002;1634485142.0;0.6433;71316217.0;0.0281;737.573289;3.575;0.206319455
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;7980998.0;0.0264;302213513.0;445.338;377.0;0.556;4.0;0.006;2346169858.0;3.457;1871358777.0;0.8;1322.0;0.002;1427858310.0;0.6086;75844547.0;0.0323;678.615751;3.338;0.203313335
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;6970991.0;0.0232;299903954.0;384.94;108.0;0.139;4.0;0.005;2682930620.0;3.444;1854005164.0;0.69;1423.0;0.002;1788245575.0;0.6665000000000001;70636313.0;0.0263;779.091828;3.436;0.226736821
"./build/Benchmark/dxexmachina_devstone cpdevs -c 4  -w 25 -d 25 -t 500000";"dxexmachina_devstone";"cpdevs";4;25;25;500000;3149735.0;0.0103;306631418.0;449.754;441.0;0.647;4.0;0.006;2377766522.0;3.488;1906479284.0;0.8;1325.0;0.002;1517345980.0;0.6381;48104464.0;0.0202;681.776506;3.389;0.201202519
