 "command";"executable";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (72.30%))";"branches";"branches (M/sec                    (86.17%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (85.73%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (M/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (72.35%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (86.18%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;446867.0;0.0212;21043840.0;969.12;0.0;0.0;0.0;0.0;58547640.0;2.696;112901359.0;1.93;126.0;0.006;8714252.0;0.14880000000000002;15274371.0;0.2609;21.714389;0.992;0.021886129
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;467595.0;0.0222;21060698.0;964.972;0.0;0.0;0.0;0.0;58542331.0;2.682;113093078.0;1.93;121.0;0.006;8880929.0;0.1517;15324814.0;0.2618;21.825188;0.992;0.022003758
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;428605.0;0.0203;21125922.0;987.64;0.0;0.0;0.0;0.0;58543371.0;2.737;112607168.0;1.92;123.0;0.006;8527692.0;0.1457;14917680.0;0.2548;21.390311;0.992;0.021573052
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;436583.0;0.0208;20998174.0;973.26;0.0;0.0;0.0;0.0;58540181.0;2.713;112700025.0;1.93;121.0;0.006;8510621.0;0.1454;15188006.0;0.2594;21.575083;0.991;0.021761915
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;431087.0;0.020499999999999997;20986283.0;963.702;0.0;0.0;0.0;0.0;58543970.0;2.688;112758572.0;1.93;126.0;0.006;8757559.0;0.1496;16358743.0;0.27940000000000004;21.77674;0.992;0.021944928
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;414977.0;0.0197;21035297.0;992.271;0.0;0.0;0.0;0.0;58542281.0;2.762;112827463.0;1.93;124.0;0.006;8239364.0;0.1407;15145401.0;0.2587;21.199142;0.992;0.021370564
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;483851.0;0.023;21051400.0;962.336;0.0;0.0;0.0;0.0;58542433.0;2.676;112977264.0;1.93;128.0;0.006;8952075.0;0.15289999999999998;15362332.0;0.26239999999999997;21.87531;0.992;0.022056501
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;432052.0;0.0206;21022254.0;978.454;0.0;0.0;0.0;0.0;58546857.0;2.725;112808723.0;1.93;124.0;0.006;8309564.0;0.1419;14858306.0;0.25379999999999997;21.48517;0.992;0.021663785
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;476185.0;0.0226;21084513.0;956.718;0.0;0.0;1.0;0.045;58540579.0;2.656;113179852.0;1.93;126.0;0.006;9094750.0;0.15539999999999998;15768931.0;0.26940000000000003;22.038378;0.992;0.022209285
"./build/Benchmark/adevs_devstone classic  -w 2 -d 1 -t 4000000";"adevs_devstone";2;1;4000000;401492.0;0.0191;21046709.0;959.33;0.0;0.0;0.0;0.0;58543473.0;2.668;112971850.0;1.93;123.0;0.006;9280926.0;0.1585;16506578.0;0.282;21.938959;0.992;0.022109441
