 "command";"executable";"nodes";"atomics/node";"iterations";"% remotes";"end time" ;"branch-misses";"branch-misses (of all branches          (83.33%))";"branches";"branches (M/sec                    (83.35%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (K/sec)";"cycles";"cycles (GHz                      (83.35%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (66.70%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (83.35%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2876294.0;0.0037;787320713.0;754.81;2.0;0.002;0.0;0.0;2862859563.0;2.745;5542271025.0;1.94;129.0;0.124;347307051.0;0.1213;954167988.0;0.3333;1043.071745;1.001;1.042368196
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2863450.0;0.0036;787936880.0;787.397;2.0;0.002;0.0;0.0;2861865162.0;2.86;5543617334.0;1.94;130.0;0.13;346782640.0;0.12119999999999999;953345779.0;0.3331;1000.685793;1.001;1.000131515
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2859786.0;0.0036;788777293.0;829.566;1.0;0.001;0.0;0.0;2862223567.0;3.01;5535959771.0;1.93;129.0;0.136;347631244.0;0.1215;954739287.0;0.3336;950.830747;1.001;0.950074832
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2880491.0;0.0037;788249892.0;801.828;1.0;0.001;2.0;0.002;2869752422.0;2.919;5543715988.0;1.93;129.0;0.131;350631587.0;0.1222;959625651.0;0.3344;983.066318;1.001;0.982422766
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2853448.0;0.0036;788399598.0;765.623;2.0;0.002;0.0;0.0;2860912319.0;2.778;5544989790.0;1.94;130.0;0.126;347465286.0;0.1215;953084055.0;0.3331;1029.749521;1.001;1.028933961
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2872663.0;0.0036;788112057.0;759.662;1.0;0.001;0.0;0.0;2863465011.0;2.76;5542038535.0;1.94;130.0;0.125;346167015.0;0.1209;954684238.0;0.33340000000000003;1037.451064;1.001;1.036754621
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2860802.0;0.0036;788793534.0;803.43;1.0;0.001;0.0;0.0;2862176064.0;2.915;5546637924.0;1.94;129.0;0.131;348521480.0;0.12179999999999999;952361014.0;0.33270000000000005;981.782787;1.001;0.980992898
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2856343.0;0.0036;787870369.0;766.045;2.0;0.002;0.0;0.0;2861792493.0;2.783;5541115743.0;1.94;129.0;0.125;346825762.0;0.12119999999999999;952739091.0;0.3329;1028.490685;1.001;1.027783666
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 16 -r 10 -t 4000000";"adevs_phold";2;2;16;10;4000000;2864896.0;0.0036;788626431.0;767.028;1.0;0.001;0.0;0.0;2860561909.0;2.782;5545304520.0;1.94;130.0;0.126;347411761.0;0.12140000000000001;952880798.0;0.3331;1028.158598;1.001;1.027345497
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3066502.0;0.0038;798647408.0;757.392;1.0;0.001;0.0;0.0;2936808837.0;2.785;5605820157.0;1.91;126.0;0.119;350666990.0;0.11939999999999999;1004750809.0;0.3421;1054.470431;1.001;1.053603112
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3064968.0;0.0038;798562581.0;760.66;7.0;0.007;1.0;0.001;2931063173.0;2.792;5605080629.0;1.91;126.0;0.12;348276579.0;0.1188;1003310622.0;0.3423;1049.82863;1.001;1.04905859
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3069621.0;0.0038;798460146.0;796.324;1.0;0.001;0.0;0.0;2935878239.0;2.928;5606028015.0;1.91;124.0;0.124;349917154.0;0.1192;1003396975.0;0.3418;1002.682478;1.001;1.001875519
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3067869.0;0.0038;798434126.0;807.865;1.0;0.001;0.0;0.0;2935831061.0;2.971;5605495278.0;1.91;130.0;0.132;350836161.0;0.1195;1003179055.0;0.3417;988.326212;1.001;0.987521142
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3060653.0;0.0038;798525050.0;833.68;1.0;0.001;0.0;0.0;2936886084.0;3.066;5604990111.0;1.91;130.0;0.136;350571662.0;0.11939999999999999;1003896554.0;0.3418;957.831952;1.001;0.957060005
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3062632.0;0.0038;798657628.0;756.835;1.0;0.001;0.0;0.0;2939069431.0;2.785;5605762629.0;1.91;130.0;0.123;349939524.0;0.1191;1006788010.0;0.34259999999999996;1055.260197;1.001;1.054357976
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3065549.0;0.0038;798663055.0;757.208;1.0;0.001;0.0;0.0;2937586687.0;2.785;5605764765.0;1.91;125.0;0.119;350532264.0;0.1193;1004898033.0;0.3421;1054.7474;1.001;1.053880151
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3065477.0;0.0038;798554453.0;798.974;1.0;0.001;0.0;0.0;2935783677.0;2.937;5605534633.0;1.91;126.0;0.126;351028442.0;0.11960000000000001;1000742884.0;0.34090000000000004;999.475261;1.001;0.998632805
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3066510.0;0.0038;798572923.0;787.799;1.0;0.001;0.0;0.0;2930440241.0;2.891;5605548268.0;1.91;129.0;0.127;350674011.0;0.1197;1002613009.0;0.3421;1013.675611;1.001;1.012851458
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3067156.0;0.0038;798669000.0;757.754;1.0;0.001;0.0;0.0;2935542204.0;2.785;5605726680.0;1.91;125.0;0.119;350916078.0;0.1195;1000483367.0;0.3408;1053.995233;1.001;1.053104828
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3070685.0;0.0039000000000000003;795709452.0;802.96;1.0;0.001;0.0;0.0;2938296086.0;2.965;5601400152.0;1.91;130.0;0.131;350295935.0;0.1192;1004392317.0;0.3418;990.970346;1.001;0.990251664
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3070407.0;0.0038;798059334.0;754.078;1.0;0.001;0.0;0.0;2937277324.0;2.775;5594940347.0;1.9;127.0;0.12;349931982.0;0.1191;1003620013.0;0.3417;1058.32411;1.001;1.057542632
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3103341.0;0.0039000000000000003;798654692.0;781.55;8.0;0.008;2.0;0.002;2938542940.0;2.876;5600661955.0;1.91;129.0;0.126;351083335.0;0.1195;1005325655.0;0.3421;1021.885188;1.001;1.021068749
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3067653.0;0.0038;798581195.0;832.482;1.0;0.001;0.0;0.0;2931405009.0;3.056;5605091964.0;1.91;126.0;0.131;350783248.0;0.1197;1002942154.0;0.3421;959.277238;1.001;0.958510659
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3066378.0;0.0038;798512733.0;825.239;1.0;0.001;0.0;0.0;2936487825.0;3.035;5601749165.0;1.91;128.0;0.132;350577936.0;0.11939999999999999;1004120834.0;0.3419;967.613797;1.001;0.96683714
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3062536.0;0.0038;796622901.0;762.571;1.0;0.001;0.0;0.0;2935176936.0;2.81;5605250365.0;1.91;129.0;0.123;350785385.0;0.1195;1002434448.0;0.34149999999999997;1044.653658;1.001;1.043761932
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3070858.0;0.0038;798481226.0;808.108;1.0;0.001;0.0;0.0;2936177518.0;2.972;5605402309.0;1.91;128.0;0.13;350963544.0;0.1195;1003375040.0;0.3417;988.086806;1.001;0.98729258
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3066796.0;0.0038;798656489.0;757.754;1.0;0.001;0.0;0.0;2935487216.0;2.785;5605838245.0;1.91;124.0;0.118;350904896.0;0.1195;1000264286.0;0.3407;1053.97883;1.001;1.053084194
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3088834.0;0.0039000000000000003;798672515.0;756.771;1.0;0.001;0.0;0.0;2938999022.0;2.785;5605665011.0;1.91;130.0;0.123;352379986.0;0.1199;1005080010.0;0.342;1055.368863;1.001;1.054470547
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3063789.0;0.0038;798631362.0;775.252;1.0;0.001;0.0;0.0;2939331222.0;2.853;5605896727.0;1.91;128.0;0.124;350769106.0;0.1193;1007241574.0;0.3427;1030.156536;1.001;1.029284265
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3067559.0;0.0038;798237689.0;807.553;3.0;0.003;0.0;0.0;2935401854.0;2.97;5605065178.0;1.91;125.0;0.126;351025618.0;0.11960000000000001;1002787212.0;0.34159999999999996;988.464491;1.001;0.987647345
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3069751.0;0.0039000000000000003;796602606.0;789.868;2.0;0.002;0.0;0.0;2936648038.0;2.912;5604998248.0;1.91;129.0;0.128;350764420.0;0.11939999999999999;1003843986.0;0.3418;1008.526584;1.001;1.007721092
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3065920.0;0.0038;798669895.0;757.508;1.0;0.001;0.0;0.0;2936385342.0;2.785;5605746540.0;1.91;127.0;0.12;350882079.0;0.1195;1003760160.0;0.3418;1054.338432;1.001;1.053448368
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3079261.0;0.0039000000000000003;798581692.0;785.833;1.0;0.001;0.0;0.0;2935320056.0;2.888;5605475708.0;1.91;130.0;0.128;351035220.0;0.11960000000000001;1001831803.0;0.34130000000000005;1016.223738;1.001;1.015403833
"./build/Benchmark/adevs_phold classic -n 2 -s 2 -i 64 -r 10 -t 4000000";"adevs_phold";2;2;64;10;4000000;3076491.0;0.0039000000000000003;798592849.0;774.71;2.0;0.002;0.0;0.0;2935221699.0;2.847;5605734074.0;1.91;126.0;0.122;351228934.0;0.1197;1004540226.0;0.3422;1030.828294;1.001;1.029999583
