 "command";"executable";"width";"depth";"end time" ;"branch-misses";"branch-misses (of all branches          (86.41%))";"branches";"branches (M/sec                    (85.84%))";"context-switches";"context-switches (K/sec)";"cpu-migrations";"cpu-migrations (M/sec)";"cycles";"cycles (GHz                      (87.41%))";"instructions";"instructions (insns per cycle)";"page-faults";"page-faults (K/sec)";"stalled-cycles-backend";"stalled-cycles-backend (backend  cycles idle     (70.61%))";"stalled-cycles-frontend";"stalled-cycles-frontend (frontend cycles idle     (84.64%))";"task-clock (msec)";"task-clock (CPUs utilized)";"time-elapsed (seconds)"
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;9352583.0;0.0178;526280453.0;627.398;55.0;0.066;8073.0;0.01;2081686148.0;2.482;2174354782.0;1.04;139.0;0.166;558214234.0;0.2682;964321476.0;0.4632;838.829634;1.088;0.770895184
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;7802748.0;0.0148;528058395.0;590.57;58.0;0.065;8103.0;0.009;2054057723.0;2.297;2168355658.0;1.06;137.0;0.153;544275848.0;0.265;965651651.0;0.47009999999999996;894.149824;1.094;0.817247761
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8913807.0;0.0167;533216411.0;534.865;76.0;0.076;8038.0;0.008;2053062199.0;2.059;2204333384.0;1.07;139.0;0.139;553095265.0;0.26940000000000003;974836980.0;0.47479999999999994;996.917094;1.091;0.913869083
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8989477.0;0.0168;535303562.0;684.544;144.0;0.184;8004.0;0.01;2063645641.0;2.639;2211696400.0;1.07;138.0;0.176;534957086.0;0.25920000000000004;945738104.0;0.4583;781.986115;1.085;0.721041006
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8446147.0;0.016;529024532.0;573.596;102.0;0.111;8055.0;0.009;2030094311.0;2.201;2185133460.0;1.08;139.0;0.151;547438906.0;0.2697;951177162.0;0.4685;922.295251;1.088;0.847757808
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8352815.0;0.015700000000000002;533698239.0;686.756;98.0;0.126;8043.0;0.01;2075146964.0;2.67;2189139358.0;1.05;138.0;0.178;548546914.0;0.2643;960249539.0;0.46270000000000006;777.129349;1.082;0.718349839
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;7581491.0;0.0143;529971146.0;596.944;106.0;0.119;8058.0;0.009;2042483638.0;2.301;2175881742.0;1.07;137.0;0.154;536768206.0;0.26280000000000003;946155776.0;0.4632;887.807571;1.088;0.816117482
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8098057.0;0.015300000000000001;528779120.0;658.161;58.0;0.072;8084.0;0.01;2044315091.0;2.545;2170128500.0;1.06;139.0;0.173;535734293.0;0.2621;958835087.0;0.469;803.419412;1.089;0.737861732
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;9014251.0;0.0168;535522074.0;643.921;88.0;0.106;8027.0;0.01;2087064578.0;2.51;2195613346.0;1.05;137.0;0.165;555991916.0;0.2664;969962338.0;0.4647;831.658252;1.084;0.767130065
"./build/Benchmark/dxexmachina_devstone classic  -w 3 -d 1 -t 4000000";"dxexmachina_devstone";3;1;4000000;8611613.0;0.0161;535646762.0;645.365;74.0;0.089;8075.0;0.01;2081339073.0;2.508;2189837988.0;1.05;140.0;0.169;576392351.0;0.27690000000000003;999504971.0;0.4802;829.990421;1.087;0.763667586
